BZN2 
UTC,PMT5577DN,PD1DN,PMTGV,PMTS,TMP,PMT5577rad,PD1rad,rad_units,
2010-06-15 00:04:47,           0,        1023,           0,           0,       25.90,           0,           0,   uW/m^2*Sr,
2010-06-15 00:04:52,           0,        1023,           0,           0,       25.90,           0,           0,   uW/m^2*Sr,
2010-06-15 00:04:57,           0,        1023,           0,           0,       25.90,           0,           0,   uW/m^2*Sr,
2010-06-15 00:05:02,           0,        1023,           0,           0,       25.90,           0,           0,   uW/m^2*Sr,
2010-06-15 00:05:07,           0,        1023,           0,           0,       25.90,           0,           0,   uW/m^2*Sr,
2010-06-15 00:05:12,           0,        1023,           0,           0,       25.90,           0,           0,   uW/m^2*Sr,
2010-06-15 00:05:17,           0,        1023,           0,           0,          26,           0,           0,   uW/m^2*Sr,
2010-06-15 00:05:22,           0,        1023,           0,           0,          26,           0,           0,   uW/m^2*Sr,
2010-06-15 00:05:27,           0,        1023,           0,           0,       26.10,           0,           0,   uW/m^2*Sr,
2010-06-15 00:05:32,           0,        1023,           0,           0,       26.10,           0,           0,   uW/m^2*Sr,
2010-06-15 00:05:37,           0,        1023,           0,           0,       26.20,           0,           0,   uW/m^2*Sr,
2010-06-15 00:05:42,           0,        1023,           0,           0,       26.20,           0,           0,   uW/m^2*Sr,
2010-06-15 00:05:47,           0,        1023,           0,           0,       26.20,           0,           0,   uW/m^2*Sr,
2010-06-15 00:05:52,           0,        1023,           0,           0,       26.20,           0,           0,   uW/m^2*Sr,
2010-06-15 00:05:57,           0,        1023,           0,           0,       26.20,           0,           0,   uW/m^2*Sr,
2010-06-15 00:06:02,           0,        1023,           0,           0,       26.20,           0,           0,   uW/m^2*Sr,
2010-06-15 00:06:07,           0,        1023,           0,           0,       26.20,           0,           0,   uW/m^2*Sr,
2010-06-15 00:06:12,           0,        1023,           0,           0,       26.30,           0,           0,   uW/m^2*Sr,
2010-06-15 00:06:17,           0,        1023,           0,           0,       26.30,           0,           0,   uW/m^2*Sr,
2010-06-15 00:06:22,           0,        1023,           0,           0,       26.50,           0,           0,   uW/m^2*Sr,
2010-06-15 00:06:27,           0,        1023,           0,           0,       26.50,           0,           0,   uW/m^2*Sr,
2010-06-15 00:06:32,           0,        1023,           0,           0,       26.60,           0,           0,   uW/m^2*Sr,
2010-06-15 00:06:37,           0,        1023,           0,           0,       26.60,           0,           0,   uW/m^2*Sr,
2010-06-15 00:06:42,           0,        1023,           0,           0,       26.60,           0,           0,   uW/m^2*Sr,
2010-06-15 00:06:47,           0,        1023,           0,           0,       26.60,           0,           0,   uW/m^2*Sr,
2010-06-15 00:06:52,           0,        1023,           0,           0,       26.60,           0,           0,   uW/m^2*Sr,
2010-06-15 00:06:57,           0,        1023,           0,           0,       26.60,           0,           0,   uW/m^2*Sr,
2010-06-15 00:07:02,           0,        1023,           0,           0,       26.60,           0,           0,   uW/m^2*Sr,
2010-06-15 00:07:07,           0,        1023,           0,           0,       26.60,           0,           0,   uW/m^2*Sr,
2010-06-15 00:07:12,           0,        1023,           0,           0,       26.80,           0,           0,   uW/m^2*Sr,
2010-06-15 00:07:17,           0,        1023,           0,           0,       26.80,           0,           0,   uW/m^2*Sr,
2010-06-15 00:07:22,           0,        1023,           0,           0,       26.90,           0,           0,   uW/m^2*Sr,
2010-06-15 00:07:27,           0,        1023,           0,           0,       26.90,           0,           0,   uW/m^2*Sr,
2010-06-15 00:07:32,           0,        1023,           0,           0,       26.90,           0,           0,   uW/m^2*Sr,
2010-06-15 00:07:37,           0,        1023,           0,           0,       26.90,           0,           0,   uW/m^2*Sr,
2010-06-15 00:07:42,           0,        1023,           0,           0,       26.90,           0,           0,   uW/m^2*Sr,
2010-06-15 00:07:47,           0,        1023,           0,           0,       26.90,           0,           0,   uW/m^2*Sr,
2010-06-15 00:07:52,           0,        1023,           0,           0,       26.90,           0,           0,   uW/m^2*Sr,
2010-06-15 00:07:57,           0,        1023,           0,           0,       26.90,           0,           0,   uW/m^2*Sr,
2010-06-15 00:08:02,           0,        1023,           0,           0,       27.10,           0,           0,   uW/m^2*Sr,
2010-06-15 00:08:07,           0,        1023,           0,           0,       27.20,           0,           0,   uW/m^2*Sr,
2010-06-15 00:08:12,           0,        1023,           0,           0,       27.20,           0,           0,   uW/m^2*Sr,
2010-06-15 00:08:17,           0,        1023,           0,           0,       27.20,           0,           0,   uW/m^2*Sr,
2010-06-15 00:08:22,           0,        1023,           0,           0,       27.20,           0,           0,   uW/m^2*Sr,
2010-06-15 00:08:27,           0,        1023,           0,           0,       27.20,           0,           0,   uW/m^2*Sr,
2010-06-15 00:08:32,           0,        1023,           0,           0,       27.20,           0,           0,   uW/m^2*Sr,
2010-06-15 00:08:37,           0,        1023,           0,           0,       27.20,           0,           0,   uW/m^2*Sr,
2010-06-15 00:08:42,           0,        1023,           0,           0,       27.20,           0,           0,   uW/m^2*Sr,
2010-06-15 00:08:47,           0,        1023,           0,           0,       27.40,           0,           0,   uW/m^2*Sr,
2010-06-15 00:08:52,           0,        1023,           0,           0,       27.50,           0,           0,   uW/m^2*Sr,
2010-06-15 00:08:57,           0,        1023,           0,           0,       27.50,           0,           0,   uW/m^2*Sr,
2010-06-15 00:09:02,           0,        1023,           0,           0,       27.50,           0,           0,   uW/m^2*Sr,
