BZN2 
UTC,PMT5577DN,PD1DN,PMTGV,PMTS,TMP,PMT5577rad,PD1rad,rad_units,
2010-06-13 00:00:03,         157,        1023,        0.23,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:00:08,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:00:13,         157,        1023,        0.22,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:00:18,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:00:23,         157,        1023,        0.22,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:00:28,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:00:33,         157,        1023,        0.22,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:00:38,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:00:43,         156,        1023,        0.22,           1,       24.80,           0,           0,   uW/m^2*Sr,
2010-06-13 00:00:48,           0,        1023,           0,           0,       24.80,           0,           0,   uW/m^2*Sr,
2010-06-13 00:00:53,         157,        1023,        0.22,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:00:58,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:01:03,         157,        1023,        0.22,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:01:08,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:01:13,         157,        1023,        0.22,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:01:18,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:01:23,         157,        1023,        0.22,           1,       24.70,           0,           0,   uW/m^2*Sr,
2010-06-13 00:01:28,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:01:33,         157,        1023,        0.23,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:01:38,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:01:43,         157,        1023,        0.22,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:01:48,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:01:53,         157,        1023,        0.22,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:01:58,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:02:03,         157,        1023,        0.22,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:02:08,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:02:13,         157,        1023,        0.23,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:02:18,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:02:23,         157,        1023,        0.22,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:02:28,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:02:33,         157,        1023,        0.22,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:02:38,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:02:43,         157,        1023,        0.23,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:02:48,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:02:53,         157,        1023,        0.23,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:02:58,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:03:03,         157,        1023,        0.22,           1,       24.70,           0,           0,   uW/m^2*Sr,
2010-06-13 00:03:08,           0,        1023,           0,           0,       24.70,           0,           0,   uW/m^2*Sr,
2010-06-13 00:03:13,         157,        1023,        0.23,           1,       24.70,           0,           0,   uW/m^2*Sr,
2010-06-13 00:03:18,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:03:23,         157,        1023,        0.22,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:03:28,           0,        1023,           0,           0,       24.40,           0,           0,   uW/m^2*Sr,
2010-06-13 00:03:33,         157,        1023,        0.22,           1,       24.40,           0,           0,   uW/m^2*Sr,
2010-06-13 00:03:38,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:03:43,         157,        1023,        0.23,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:03:48,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:03:53,         157,        1023,        0.22,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:03:58,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:04:03,         157,        1023,        0.22,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:04:08,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:04:13,         157,        1023,        0.22,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:04:18,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:04:23,         156,        1023,        0.23,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:04:28,           0,        1023,           0,           0,       24.40,           0,           0,   uW/m^2*Sr,
2010-06-13 00:04:33,         157,        1023,        0.23,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:04:38,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:04:43,         157,        1023,        0.23,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:04:48,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:04:53,         157,        1023,        0.23,           1,       24.70,           0,           0,   uW/m^2*Sr,
2010-06-13 00:04:58,           0,        1023,           0,           0,       24.70,           0,           0,   uW/m^2*Sr,
2010-06-13 00:05:03,         157,        1023,        0.22,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-06-13 00:05:08,           0,        1023,           0,           0,       24.20,           0,           0,   uW/m^2*Sr,
2010-06-13 00:05:13,         158,        1023,        0.23,           1,       24.30,           0,           0,   uW/m^2*Sr,
2010-06-13 00:05:18,           0,        1023,           0,           0,       24.60,           0,           0,   uW/m^2*Sr,
