BZN2 
UTC,PMT5577DN,PD1DN,PMTGV,PMTS,TMP,PMT5577rad,PD1rad,rad_units,
2010-08-23 14:08:49,          31,          87,        0.73,           1,       23.30,           0,           0,   uW/m^2*Sr,
2010-08-23 14:08:54,          31,          86,        0.73,           1,       23.30,           0,           0,   uW/m^2*Sr,
2010-08-23 14:08:59,          31,          84,        0.73,           1,       23.30,           0,           0,   uW/m^2*Sr,
2010-08-23 14:09:04,          31,          83,        0.73,           1,       23.30,           0,           0,   uW/m^2*Sr,
2010-08-23 14:09:09,          31,          84,        0.73,           1,       23.30,           0,           0,   uW/m^2*Sr,
2010-08-23 14:09:19,          31,          85,        0.73,           1,       23.40,           0,           0,   uW/m^2*Sr,
2010-08-23 14:09:24,          31,          85,        0.73,           1,       23.60,           0,           0,   uW/m^2*Sr,
2010-08-23 14:09:34,          32,          88,        0.73,           1,       23.70,           0,           0,   uW/m^2*Sr,
2010-08-23 14:09:39,          32,          88,        0.73,           1,       23.70,           0,           0,   uW/m^2*Sr,
2010-08-23 14:09:44,          32,          87,        0.73,           1,       23.70,           0,           0,   uW/m^2*Sr,
2010-08-23 14:09:49,          33,          87,        0.73,           1,       23.70,           0,           0,   uW/m^2*Sr,
2010-08-23 14:09:54,          34,          88,        0.73,           1,       23.70,           0,           0,   uW/m^2*Sr,
2010-08-23 14:09:59,          34,          88,        0.73,           1,       23.90,           0,           0,   uW/m^2*Sr,
2010-08-23 14:10:04,          34,          91,        0.73,           1,       23.90,           0,           0,   uW/m^2*Sr,
2010-08-23 14:10:14,          33,          88,        0.73,           1,          24,           0,           0,   uW/m^2*Sr,
2010-08-23 14:10:19,          33,          89,        0.73,           1,          24,           0,           0,   uW/m^2*Sr,
2010-08-23 14:10:24,          33,          91,        0.73,           1,          24,           0,           0,   uW/m^2*Sr,
2010-08-23 14:10:29,          33,          88,        0.73,           1,       24.20,           0,           0,   uW/m^2*Sr,
2010-08-23 14:10:34,          34,          90,        0.73,           1,       24.30,           0,           0,   uW/m^2*Sr,
2010-08-23 14:10:39,          34,          90,        0.73,           1,       24.30,           0,           0,   uW/m^2*Sr,
2010-08-23 14:10:44,          33,          89,        0.73,           1,       24.30,           0,           0,   uW/m^2*Sr,
2010-08-23 14:10:49,          34,          87,        0.73,           1,       24.40,           0,           0,   uW/m^2*Sr,
2010-08-23 14:10:54,          34,          90,        0.73,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-08-23 14:10:59,          34,          89,        0.73,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-08-23 14:11:04,          34,          88,        0.73,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-08-23 14:11:09,          34,          88,        0.73,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-08-23 14:11:14,          34,          87,        0.73,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-08-23 14:11:19,          34,          94,        0.73,           1,       24.80,           0,           0,   uW/m^2*Sr,
2010-08-23 14:11:24,          34,          93,        0.73,           1,       24.90,           0,           0,   uW/m^2*Sr,
2010-08-23 14:11:29,          33,          94,        0.73,           1,       24.90,           0,           0,   uW/m^2*Sr,
2010-08-23 14:11:34,          34,          90,        0.73,           1,       24.90,           0,           0,   uW/m^2*Sr,
2010-08-23 14:11:39,          34,          94,        0.73,           1,       24.90,           0,           0,   uW/m^2*Sr,
2010-08-23 14:11:44,          34,          90,        0.73,           1,       24.90,           0,           0,   uW/m^2*Sr,
2010-08-23 14:11:49,          34,          91,        0.73,           1,       25.10,           0,           0,   uW/m^2*Sr,
