BZN2 
UTC,PMT5577DN,PD1DN,PMTGV,PMTS,TMP,SETTMP,TEPWR,TEDIR,PMT5577rad,PD1rad,rad_units,
0000-00-00 00:00:00,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,          41,           0,           0,           1,       25.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,         445,           0,           0,           1,       25.50,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           1,       25.50,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           1,       25.50,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           1,       26.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,        0.73,           1,          27,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,          27,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,        0.73,           1,       26.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,        0.03,           1,       27.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,        0.03,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,       27.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,       27.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,       26.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,       26.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,        0.04,           1,       24.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,          25,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,        0.04,           1,          25,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,        0.04,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,        0.04,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,        0.04,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,        0.04,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,        0.04,           1,       26.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,       26.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,        0.04,           1,       26.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,       26.50,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,        0.04,           1,       26.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,           0,           0,       26.70,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
0000-00-00 00:00:00,           0,           0,        0.04,           1,       26.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
