BZN2 
UTC,PMT5577DN,PD1DN,PMTGV,PMTS,TMP,PMT5577rad,PD1rad,rad_units,
2010-06-11 00:00:02,           0,           0,           0,           0,       26.50,           0,           0,   uW/m^2*Sr,
2010-06-11 00:00:07,         162,           0,        0.22,           1,       26.50,           0,           0,   uW/m^2*Sr,
2010-06-11 00:00:12,           0,           0,           0,           0,       26.50,           0,           0,   uW/m^2*Sr,
2010-06-11 00:00:17,         162,           0,        0.22,           1,       26.50,           0,           0,   uW/m^2*Sr,
2010-06-11 00:00:22,           0,           0,           0,           0,       26.10,           0,           0,   uW/m^2*Sr,
2010-06-11 00:00:27,         163,           0,        0.22,           1,       26.20,           0,           0,   uW/m^2*Sr,
2010-06-11 00:00:32,           1,           0,           0,           0,       26.10,           0,           0,   uW/m^2*Sr,
2010-06-11 00:00:37,         162,           0,        0.22,           1,       26.40,           0,           0,   uW/m^2*Sr,
2010-06-11 00:00:42,           0,           0,           0,           0,       26.40,           0,           0,   uW/m^2*Sr,
2010-06-11 00:00:47,         162,           0,        0.22,           1,       26.40,           0,           0,   uW/m^2*Sr,
2010-06-11 00:00:52,           0,           0,           0,           0,       26.30,           0,           0,   uW/m^2*Sr,
2010-06-11 00:00:57,         163,           0,        0.22,           1,       26.30,           0,           0,   uW/m^2*Sr,
2010-06-11 00:01:02,           1,           0,           0,           0,       26.40,           0,           0,   uW/m^2*Sr,
2010-06-11 00:01:07,         162,           0,        0.22,           1,       26.50,           0,           0,   uW/m^2*Sr,
2010-06-11 00:01:12,           0,           0,           0,           0,       26.30,           0,           0,   uW/m^2*Sr,
2010-06-11 00:01:17,         163,           0,        0.22,           1,       26.30,           0,           0,   uW/m^2*Sr,
2010-06-11 00:01:22,           0,           0,           0,           0,       26.30,           0,           0,   uW/m^2*Sr,
2010-06-11 00:01:27,         163,           0,        0.22,           1,       26.20,           0,           0,   uW/m^2*Sr,
2010-06-11 00:01:32,           3,           0,           0,           0,       26.20,           0,           0,   uW/m^2*Sr,
2010-06-11 00:01:37,         162,           0,        0.22,           1,       26.40,           0,           0,   uW/m^2*Sr,
2010-06-11 00:01:42,           0,           0,           0,           0,       26.30,           0,           0,   uW/m^2*Sr,
2010-06-11 00:01:47,         163,           0,        0.22,           1,       26.40,           0,           0,   uW/m^2*Sr,
2010-06-11 00:01:52,           0,           0,           0,           0,       26.30,           0,           0,   uW/m^2*Sr,
2010-06-11 00:01:57,         162,           0,        0.22,           1,       26.30,           0,           0,   uW/m^2*Sr,
2010-06-11 00:02:02,           0,           0,           0,           0,       26.20,           0,           0,   uW/m^2*Sr,
2010-06-11 00:02:07,         162,           0,        0.22,           1,       26.40,           0,           0,   uW/m^2*Sr,
2010-06-11 00:02:12,           0,           0,           0,           0,       26.30,           0,           0,   uW/m^2*Sr,
2010-06-11 00:02:17,         162,           0,        0.22,           1,       26.30,           0,           0,   uW/m^2*Sr,
2010-06-11 00:02:22,           0,           0,           0,           0,       26.30,           0,           0,   uW/m^2*Sr,
2010-06-11 00:02:27,         162,           0,        0.22,           1,       26.40,           0,           0,   uW/m^2*Sr,
2010-06-11 00:02:32,           0,           0,           0,           0,       26.30,           0,           0,   uW/m^2*Sr,
2010-06-11 00:02:37,         162,           0,        0.22,           1,       26.20,           0,           0,   uW/m^2*Sr,
2010-06-11 00:02:42,           0,           0,           0,           0,       26.20,           0,           0,   uW/m^2*Sr,
