BZN2 
UTC,PMT5577DN,PD1DN,PMTGV,PMTS,TMP,SETTMP,TEPWR,TEDIR,PMT5577rad,PD1rad,rad_units,
2010-06-09 19:51:01,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 19:51:06,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 19:51:41,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 19:51:46,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 19:51:51,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 19:51:56,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 19:52:01,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 19:52:06,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 19:52:11,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 19:52:16,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 19:52:21,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 19:52:26,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 19:52:31,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 19:52:36,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 19:52:41,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 19:52:46,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 19:52:51,           0,           0,        0.00,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 19:58:20,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 19:59:00,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 19:59:30,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 20:01:46,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 20:02:01,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 20:02:21,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 20:02:41,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 20:03:01,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 20:03:39,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 20:03:44,           0,           0,        0.04,           1,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 20:04:19,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 20:04:39,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 20:04:59,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 20:06:01,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 20:06:11,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 20:07:40,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 20:08:22,           0,           0,           0,           0,       27.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 20:15:02,           0,           0,           0,           0,       26.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 20:15:17,           0,           0,        0.04,           1,       26.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 20:19:32,           0,           0,        0.04,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 20:19:44,           0,           0,        0.04,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 20:19:50,           0,           0,           0,           0,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 20:19:56,           0,           0,        0.04,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 20:20:02,           0,           0,           0,           0,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-09 20:20:20,           0,           0,        0.04,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
